,rnd0
0,165
1,222
2,273
3,209
4,14
5,267
6,71
7,154
8,258
9,60
10,126
11,38
12,161
13,201
14,59
15,91
16,44
17,247
18,245
19,20
20,176
21,144
22,285
23,187
24,137
25,80
26,230
27,29
28,130
29,205
30,105
31,141
32,235
33,268
34,286
35,242
36,249
37,293
38,102
39,82
40,279
41,248
42,64
43,147
44,81
45,79
46,125
47,211
48,240
49,139
50,177
51,264
52,39
53,120
54,256
55,253
56,283
57,140
58,183
59,100
60,214
61,203
62,121
63,160
64,284
65,291
66,78
67,129
68,255
69,56
70,24
71,74
72,127
73,149
74,200
75,208
76,99
77,167
78,188
79,290
80,296
81,96
82,138
83,131
84,158
85,66
86,271
87,227
88,278
89,67
90,204
91,182
92,11
93,231
94,156
95,171
96,162
97,252
98,295
99,0
100,150
101,75
102,236
103,260
104,195
105,47
106,186
107,77
108,73
109,234
110,13
111,115
112,232
113,145
114,152
115,192
116,299
117,261
118,21
119,9
120,68
121,178
122,108
123,194
124,55
125,246
126,133
127,166
128,239
129,244
130,229
131,297
132,19
133,30
134,86
135,266
136,117
137,65
138,224
139,103
140,225
141,202
142,237
143,52
144,184
145,292
146,22
147,76
148,257
149,143
150,250
151,97
152,190
153,128
154,251
155,281
156,223
157,173
158,289
159,212
160,7
161,298
162,275
163,106
164,83
165,49
166,262
167,168
168,107
169,179
170,116
171,46
172,18
173,42
174,175
175,110
176,206
177,294
178,87
179,136
180,53
181,114
182,220
183,28
184,277
185,217
186,185
187,193
188,172
189,57
190,263
191,153
192,84
193,6
194,112
195,27
196,270
197,157
198,196
199,146
200,69
201,221
202,213
203,233
204,48
205,123
206,63
207,142
208,272
209,37
210,191
211,70
212,280
213,95
214,269
215,34
216,199
217,287
218,26
219,164
220,198
221,124
222,92
223,151
224,189
225,2
226,259
227,254
228,104
229,45
230,113
231,282
232,33
233,62
234,134
235,180
236,31
237,163
238,118
239,10
240,5
241,15
242,207
243,219
244,32
245,274
246,25
247,90
248,94
249,135
250,181
251,174
252,85
253,101
254,43
255,288
256,40
257,17
258,88
259,12
260,243
261,98
262,155
263,8
264,36
265,58
266,238
267,54
268,93
269,265
270,216
271,3
272,61
273,210
274,226
275,122
276,169
277,159
278,89
279,132
280,41
281,16
282,228
283,170
284,119
285,148
286,276
287,50
288,1
289,23
290,218
291,197
292,51
293,4
294,109
295,111
296,215
297,72
298,241
299,35
