,rnd1
0,32
1,218
2,12
3,129
4,121
5,241
6,153
7,119
8,94
9,49
10,230
11,59
12,149
13,21
14,79
15,273
16,175
17,251
18,125
19,56
20,286
21,110
22,25
23,107
24,234
25,187
26,106
27,185
28,38
29,72
30,46
31,250
32,232
33,173
34,142
35,118
36,108
37,134
38,132
39,226
40,63
41,190
42,58
43,100
44,188
45,99
46,141
47,215
48,90
49,283
50,29
51,89
52,272
53,31
54,211
55,54
56,199
57,0
58,198
59,50
60,229
61,117
62,83
63,17
64,120
65,202
66,275
67,82
68,224
69,74
70,75
71,167
72,216
73,252
74,253
75,277
76,195
77,222
78,20
79,122
80,27
81,69
82,178
83,212
84,95
85,256
86,284
87,51
88,231
89,126
90,43
91,145
92,146
93,245
94,135
95,116
96,221
97,103
98,1
99,152
100,182
101,276
102,144
103,262
104,14
105,66
106,128
107,160
108,138
109,261
110,220
111,258
112,92
113,235
114,30
115,80
116,207
117,174
118,246
119,181
120,16
121,225
122,219
123,87
124,22
125,259
126,124
127,64
128,186
129,177
130,33
131,278
132,28
133,45
134,136
135,274
136,102
137,279
138,281
139,205
140,208
141,151
142,265
143,164
144,109
145,266
146,197
147,93
148,111
149,162
150,101
151,86
152,204
153,271
154,113
155,184
156,105
157,78
158,213
159,81
160,268
161,236
162,42
163,289
164,157
165,85
166,148
167,233
168,244
169,39
170,57
171,35
172,249
173,140
174,18
175,156
176,255
177,270
178,155
179,47
180,19
181,209
182,8
183,247
184,10
185,200
186,269
187,112
188,34
189,201
190,163
191,67
192,287
193,24
194,285
195,73
196,159
197,237
198,139
199,161
200,71
201,5
202,150
203,7
204,65
205,179
206,48
207,154
208,169
209,15
210,176
211,13
212,191
213,123
214,217
215,240
216,288
217,227
218,61
219,228
220,68
221,2
222,196
223,44
224,192
225,98
226,11
227,168
228,210
229,6
230,203
231,243
232,84
233,248
234,257
235,214
236,115
237,206
238,254
239,263
240,242
241,62
242,170
243,40
244,76
245,26
246,3
247,171
248,97
249,166
250,104
251,133
252,194
253,280
254,130
255,137
256,96
257,88
258,36
259,264
260,143
261,60
262,23
263,53
264,131
265,282
266,193
267,239
268,52
269,223
270,267
271,4
272,147
273,9
274,91
275,114
276,41
277,37
278,158
279,238
280,165
281,127
282,172
283,189
284,183
285,70
286,77
287,55
288,260
289,180
