,rnd0
0,284
1,1193
2,558
3,107
4,373
5,1302
6,1384
7,306
8,1427
9,952
10,969
11,830
12,557
13,1332
14,701
15,0
16,1047
17,636
18,650
19,574
20,963
21,962
22,1336
23,190
24,349
25,498
26,182
27,679
28,966
29,862
30,594
31,401
32,524
33,808
34,581
35,186
36,214
37,279
38,330
39,256
40,382
41,715
42,504
43,1240
44,876
45,1294
46,1439
47,1008
48,1334
49,1168
50,1250
51,1312
52,1033
53,617
54,378
55,136
56,21
57,300
58,25
59,125
60,1378
61,250
62,725
63,466
64,1248
65,1154
66,807
67,1375
68,6
69,83
70,240
71,150
72,1112
73,229
74,432
75,1186
76,1214
77,620
78,361
79,494
80,1173
81,1163
82,491
83,1354
84,28
85,339
86,1462
87,368
88,755
89,889
90,95
91,945
92,32
93,395
94,1347
95,98
96,1273
97,293
98,714
99,37
100,961
101,24
102,506
103,968
104,94
105,795
106,187
107,560
108,314
109,1032
110,215
111,752
112,145
113,409
114,621
115,672
116,1030
117,722
118,228
119,333
120,1125
121,1278
122,367
123,375
124,1314
125,868
126,1404
127,1298
128,456
129,1433
130,894
131,1363
132,786
133,260
134,856
135,317
136,1368
137,96
138,1092
139,901
140,1478
141,180
142,897
143,223
144,1227
145,681
146,208
147,1159
148,867
149,553
150,1286
151,1035
152,637
153,1401
154,152
155,550
156,1440
157,1150
158,777
159,275
160,1391
161,746
162,1221
163,648
164,412
165,939
166,1197
167,1083
168,602
169,1359
170,1108
171,1215
172,237
173,957
174,1174
175,970
176,363
177,1470
178,304
179,294
180,1449
181,996
182,990
183,1183
184,1424
185,1397
186,606
187,694
188,1068
189,1229
190,1048
191,499
192,1403
193,431
194,1081
195,1015
196,257
197,1164
198,419
199,598
200,108
201,278
202,415
203,5
204,772
205,350
206,608
207,405
208,1264
209,1096
210,127
211,926
212,1029
213,646
214,567
215,1224
216,821
217,388
218,1353
219,1211
220,839
221,1060
222,994
223,829
224,99
225,576
226,11
227,577
228,1362
229,104
230,845
231,1428
232,336
233,659
234,712
235,192
236,1239
237,1243
238,1390
239,536
240,1080
241,640
242,1237
243,1007
244,1139
245,113
246,1073
247,1001
248,1297
249,543
250,791
251,1023
252,661
253,1044
254,510
255,313
256,744
257,79
258,1043
259,1220
260,984
261,106
262,205
263,643
264,400
265,1487
266,720
267,501
268,1049
269,1369
270,1228
271,176
272,112
273,347
274,1241
275,685
276,252
277,1151
278,754
279,759
280,1271
281,1268
282,338
283,1019
284,779
285,1444
286,589
287,1345
288,325
289,51
290,484
291,691
292,1116
293,1287
294,403
295,1135
296,391
297,727
298,575
299,1231
300,263
301,1216
302,1468
303,1153
304,216
305,72
306,1142
307,326
308,175
309,500
310,1257
311,1095
312,440
313,34
314,178
315,41
316,1436
317,1380
318,788
319,1454
320,495
321,1069
322,846
323,213
324,460
325,764
326,539
327,1061
328,978
329,1091
330,892
331,823
332,800
333,1270
334,217
335,521
336,1411
337,1038
338,1280
339,1475
340,425
341,1162
342,147
343,10
344,1481
345,740
346,803
347,559
348,49
349,274
350,381
351,529
352,142
353,956
354,1053
355,85
356,831
357,623
358,311
359,1251
360,235
361,1331
362,826
363,1282
364,991
365,1082
366,1078
367,1293
368,1469
369,110
370,883
371,468
372,248
373,810
374,649
375,890
376,1386
377,371
378,1066
379,463
380,292
381,1070
382,461
383,1194
384,1426
385,1281
386,1305
387,1042
388,920
389,1161
390,785
391,1484
392,1201
393,254
394,280
395,146
396,767
397,1435
398,159
399,1322
400,219
401,1012
402,103
403,1034
404,900
405,614
406,39
407,1421
408,1371
409,1430
410,982
411,806
412,769
413,908
414,64
415,448
416,1285
417,1387
418,1010
419,365
420,674
421,854
422,563
423,688
424,389
425,511
426,1316
427,538
428,627
429,973
430,1269
431,323
432,611
433,801
434,1086
435,870
436,526
437,60
438,384
439,1160
440,332
441,154
442,677
443,450
444,362
445,472
446,321
447,702
448,1261
449,305
450,1325
451,1077
452,814
453,383
454,693
455,678
456,987
457,721
458,262
459,818
460,1394
461,947
462,1425
463,266
464,980
465,1206
466,911
467,376
468,904
469,1115
470,1410
471,1266
472,82
473,1107
474,798
475,673
476,203
477,303
478,1398
479,976
480,525
481,958
482,66
483,377
484,465
485,408
486,698
487,758
488,713
489,565
490,1422
491,1165
492,683
493,447
494,396
495,1244
496,351
497,1300
498,1145
499,885
500,184
501,1133
502,1299
503,1063
504,406
505,324
506,718
507,497
508,1317
509,1138
510,834
511,1041
512,445
513,1166
514,780
515,1412
516,1275
517,1448
518,1456
519,898
520,207
521,711
522,1295
523,1090
524,675
525,815
526,1457
527,477
528,1429
529,1342
530,654
531,689
532,1423
533,833
534,528
535,479
536,728
537,658
538,1071
539,881
540,1119
541,54
542,527
543,874
544,827
545,74
546,114
547,1400
548,1306
549,1472
550,488
551,988
552,253
553,761
554,1418
555,354
556,635
557,509
558,158
559,946
560,569
561,850
562,189
563,1326
564,1396
565,1232
566,1128
567,459
568,682
569,470
570,518
571,1158
572,704
573,612
574,204
575,195
576,1155
577,556
578,1374
579,132
580,781
581,905
582,817
583,731
584,942
585,1303
586,417
587,1217
588,551
589,638
590,1445
591,622
592,433
593,341
594,8
595,977
596,1052
597,1021
598,268
599,233
600,1321
601,804
602,1483
603,595
604,1451
605,972
606,1089
607,1181
608,475
609,57
610,792
611,1377
612,70
613,562
614,1050
615,669
616,879
617,1127
618,1420
619,58
620,866
621,844
622,179
623,921
624,717
625,1437
626,1474
627,418
628,148
629,173
630,1466
631,519
632,1203
633,1361
634,1288
635,309
636,1121
637,46
638,1349
639,267
640,1099
641,322
642,546
643,124
644,1260
645,940
646,1307
647,1025
648,1329
649,297
650,828
651,1204
652,92
653,737
654,69
655,316
656,1265
657,496
658,1333
659,909
660,1198
661,155
662,1406
663,601
664,741
665,87
666,1004
667,1059
668,603
669,735
670,1101
671,251
672,634
673,1399
674,1309
675,1355
676,647
677,167
678,919
679,1074
680,548
681,1171
682,143
683,1276
684,597
685,967
686,564
687,948
688,1419
689,423
690,544
691,439
692,121
693,1218
694,13
695,1067
696,246
697,487
698,315
699,938
700,664
701,63
702,1195
703,1045
704,515
705,1358
706,162
707,932
708,805
709,1339
710,1093
711,931
712,344
713,191
714,188
715,118
716,738
717,537
718,724
719,707
720,1254
721,455
722,1144
723,993
724,607
725,903
726,421
727,194
728,1200
729,410
730,1262
731,462
732,985
733,914
734,212
735,340
736,370
737,1465
738,995
739,530
740,353
741,763
742,109
743,1385
744,605
745,1272
746,139
747,1075
748,922
749,710
750,508
751,1442
752,979
753,1016
754,656
755,882
756,149
757,165
758,986
759,1085
760,1446
761,144
762,1344
763,566
764,802
765,76
766,532
767,1177
768,959
769,14
770,1037
771,1103
772,163
773,586
774,489
775,812
776,434
777,1097
778,2
779,1407
780,596
781,1290
782,502
783,1175
784,53
785,1172
786,471
787,1098
788,7
789,226
790,261
791,15
792,888
793,1279
794,1106
795,770
796,1253
797,86
798,244
799,813
800,307
801,663
802,753
803,517
804,1124
805,1242
806,290
807,1182
808,1190
809,48
810,199
811,549
812,138
813,541
814,38
815,1137
816,1152
817,840
818,1376
819,915
820,1351
821,935
822,135
823,193
824,201
825,352
826,503
827,1170
828,863
829,1477
830,301
831,1114
832,726
833,282
834,1348
835,1031
836,133
837,232
838,572
839,486
840,667
841,259
842,4
843,366
844,729
845,554
846,591
847,1178
848,522
849,1335
850,782
851,90
852,164
853,859
854,1438
855,1236
856,43
857,308
858,953
859,435
860,1479
861,399
862,1252
863,684
864,170
865,490
866,745
867,1413
868,917
869,1013
870,1113
871,19
872,641
873,209
874,1022
875,129
876,891
877,756
878,1024
879,787
880,750
881,865
882,757
883,359
884,619
885,398
886,790
887,1284
888,446
889,906
890,23
891,299
892,1389
893,884
894,1202
895,733
896,174
897,221
898,464
899,928
900,80
901,1062
902,1126
903,454
904,1185
905,17
906,895
907,913
908,453
909,42
910,1450
911,1176
912,816
913,507
914,1079
915,700
916,22
917,628
918,442
919,137
920,796
921,348
922,169
923,1056
924,1011
925,933
926,1476
927,1402
928,481
929,907
930,198
931,1277
932,1320
933,126
934,236
935,583
936,177
937,1486
938,835
939,593
940,50
941,893
942,93
943,265
944,540
945,687
946,270
947,514
948,422
949,387
950,797
951,211
952,1311
953,71
954,1207
955,937
956,624
957,111
958,1122
959,924
960,748
961,100
962,582
963,258
964,819
965,954
966,1111
967,680
968,123
969,427
970,670
971,1102
972,480
973,696
974,1296
975,1157
976,668
977,864
978,1319
979,393
980,706
981,1370
982,225
983,31
984,1489
985,84
986,444
987,1393
988,411
989,119
990,416
991,1382
992,1315
993,960
994,1485
995,75
996,1455
997,927
998,587
999,610
1000,1054
1001,1328
1002,328
1003,1367
1004,998
1005,585
