,rnd3
0,54
1,268
2,234
3,86
4,38
5,14
6,32
7,226
8,210
9,270
10,219
11,122
12,170
13,24
14,67
15,248
16,309
17,81
18,285
19,36
20,175
21,259
22,56
23,28
24,178
25,110
26,102
27,70
28,177
29,138
30,8
31,136
32,244
33,155
34,95
35,92
36,11
37,233
38,299
39,269
40,184
41,287
42,149
43,132
44,224
45,34
46,261
47,73
48,137
49,283
50,296
51,206
52,217
53,238
54,189
55,118
56,308
57,88
58,125
59,147
60,185
61,166
62,295
63,160
64,13
65,150
66,107
67,288
68,307
69,116
70,225
71,254
72,30
73,197
74,179
75,275
76,3
77,53
78,249
79,148
80,223
81,124
82,33
83,80
84,203
85,169
86,41
87,19
88,253
89,109
90,260
91,266
92,29
93,227
94,165
95,212
96,89
97,176
98,112
99,114
100,195
101,15
102,90
103,103
104,196
105,0
106,128
107,151
108,247
109,45
110,104
111,246
112,74
113,133
114,236
115,192
116,228
117,129
118,252
119,115
120,31
121,276
122,156
123,204
124,25
125,127
126,71
127,211
128,274
129,5
130,100
131,216
132,256
133,153
134,188
135,142
136,7
137,194
138,302
139,167
140,293
141,17
142,85
143,62
144,284
145,231
146,59
147,123
148,200
149,201
150,303
151,93
152,27
153,12
154,20
155,119
156,255
157,106
158,35
159,305
160,40
161,187
162,117
163,181
164,152
165,298
166,271
167,130
168,258
169,289
170,220
171,301
172,161
173,159
174,183
175,232
176,306
177,60
178,262
179,144
180,126
181,171
182,213
183,52
184,87
185,214
186,96
187,273
188,16
189,64
190,297
191,172
192,180
193,23
194,82
195,168
196,50
197,279
198,79
199,221
200,65
201,140
202,4
203,237
204,26
205,267
206,205
207,242
208,235
209,208
210,99
211,84
212,58
213,277
214,207
215,6
216,173
217,37
218,143
219,278
220,292
221,222
222,250
223,264
224,257
225,75
226,174
227,42
228,190
229,21
230,108
231,286
232,46
233,77
234,245
235,91
236,98
237,47
238,55
239,300
240,48
241,2
242,94
243,43
244,9
245,1
246,120
247,113
248,182
249,263
250,139
251,215
252,282
253,280
254,157
255,66
256,39
257,199
258,121
259,111
260,49
261,134
262,154
263,78
264,69
265,209
266,10
267,186
268,158
269,291
270,162
271,135
272,76
273,191
274,105
275,243
276,229
277,198
278,294
279,83
280,146
281,304
282,265
283,240
284,218
285,239
286,97
287,44
288,51
289,251
290,272
291,18
292,241
293,72
294,163
295,68
296,61
297,22
298,57
299,141
300,230
301,101
302,202
303,145
304,164
305,63
306,193
307,290
308,281
309,131
