,rnd6
0,219
1,50
2,171
3,21
4,99
5,64
6,112
7,182
8,252
9,247
10,142
11,18
12,29
13,147
14,207
15,216
16,93
17,125
18,127
19,59
20,130
21,35
22,237
23,156
24,115
25,26
26,271
27,274
28,291
29,214
30,20
31,223
32,140
33,30
34,257
35,175
36,250
37,48
38,202
39,25
40,9
41,89
42,87
43,79
44,212
45,272
46,262
47,114
48,180
49,161
50,67
51,189
52,204
53,118
54,273
55,260
56,284
57,150
58,8
59,132
60,187
61,103
62,51
63,46
64,75
65,248
66,58
67,152
68,88
69,135
70,165
71,149
72,134
73,106
74,11
75,86
76,38
77,107
78,181
79,61
80,173
81,117
82,280
83,279
84,143
85,215
86,111
87,54
88,217
89,85
90,6
91,296
92,194
93,234
94,245
95,84
96,31
97,210
98,123
99,278
100,229
101,213
102,276
103,287
104,90
105,288
106,124
107,138
108,136
109,240
110,251
111,41
112,56
113,160
114,283
115,256
116,285
117,83
118,44
119,265
120,259
121,268
122,102
123,157
124,264
125,246
126,68
127,177
128,166
129,184
130,14
131,57
132,201
133,97
134,78
135,19
136,81
137,70
138,186
139,137
140,233
141,295
142,16
143,121
144,108
145,235
146,294
147,211
148,261
149,27
150,167
151,205
152,254
153,12
154,71
155,91
156,74
157,190
158,52
159,178
160,299
161,191
162,242
163,162
164,195
165,163
166,282
167,129
168,153
169,225
170,227
171,286
172,100
173,255
174,96
175,128
176,226
177,80
178,170
179,77
180,164
181,95
182,23
183,197
184,290
185,267
186,293
187,151
188,62
189,199
190,192
191,7
192,253
193,289
194,109
195,120
196,28
197,218
198,33
199,15
200,231
201,145
202,297
203,40
204,82
205,196
206,168
207,53
208,224
209,43
210,119
211,55
212,3
213,24
214,148
215,0
216,203
217,239
218,34
219,275
220,174
221,47
222,66
223,269
224,17
225,244
226,139
227,236
228,94
229,159
230,220
231,198
232,146
233,32
234,249
235,179
236,266
237,206
238,183
239,116
240,72
241,126
242,228
243,13
244,10
245,200
246,73
247,263
248,131
249,101
250,188
251,222
252,37
253,243
254,209
255,65
256,133
257,144
258,238
259,105
260,63
261,36
262,232
263,22
264,104
265,169
266,230
267,155
268,172
269,98
270,45
271,258
272,193
273,176
274,208
275,122
276,5
277,69
278,241
279,4
280,270
281,1
282,113
283,76
284,281
285,110
286,158
287,277
288,292
289,39
290,298
291,42
292,92
293,154
294,49
295,221
296,141
297,185
298,2
299,60
