,rnd1
0,65
1,19
2,66
3,107
4,50
5,39
6,38
7,18
8,10
9,114
10,106
11,88
12,111
13,53
14,40
15,104
16,102
17,17
18,8
19,103
20,94
21,32
22,108
23,69
24,62
25,57
26,99
27,86
28,112
29,58
30,84
31,100
32,98
33,76
34,90
35,70
36,46
37,24
38,15
39,61
40,71
41,9
42,36
43,33
44,79
45,110
46,49
47,7
48,23
49,72
50,21
51,37
52,91
53,13
54,95
55,6
56,14
57,35
58,92
59,1
60,28
61,75
62,87
63,101
64,26
65,34
66,64
67,81
68,5
69,113
70,45
71,54
72,22
73,30
74,105
75,29
76,20
77,109
78,12
79,0
80,42
81,43
82,2
83,97
84,3
85,89
86,44
87,67
88,80
89,78
90,60
91,68
92,4
93,41
94,93
95,96
96,48
97,55
98,115
99,74
100,52
101,47
102,11
103,51
104,73
105,56
106,77
107,16
108,83
109,31
110,25
111,59
112,63
113,85
114,27
115,82
