,rnd0
0,173
1,10
2,286
3,309
4,35
5,318
6,423
7,312
8,278
9,209
10,388
11,260
12,408
13,162
14,500
15,399
16,118
17,150
18,337
19,371
20,455
21,493
22,94
23,456
24,225
25,40
26,199
27,417
28,198
29,578
30,438
31,524
32,538
33,215
34,163
35,443
36,291
37,555
38,257
39,386
40,61
41,563
42,449
43,217
44,527
45,174
46,73
47,121
48,182
49,196
50,457
51,315
52,550
53,7
54,138
55,492
56,450
57,144
58,259
59,577
60,341
61,180
62,445
63,253
64,232
65,534
66,484
67,181
68,592
69,330
70,156
71,556
72,590
73,436
74,157
75,265
76,326
77,419
78,382
79,77
80,169
81,574
82,522
83,586
84,145
85,413
86,268
87,343
88,546
89,210
90,424
91,557
92,301
93,569
94,164
95,313
96,304
97,29
98,463
99,528
100,70
101,183
102,276
103,270
104,283
105,90
106,53
107,473
108,3
109,533
110,510
111,499
112,213
113,496
114,349
115,308
116,355
117,63
118,139
119,454
120,430
121,482
122,86
123,581
124,84
125,517
126,48
127,112
128,97
129,448
130,354
131,205
132,331
133,383
134,509
135,344
136,542
137,409
138,45
139,59
140,20
141,228
142,345
143,167
144,195
145,585
146,126
147,589
148,290
149,255
150,28
151,149
152,467
153,560
154,248
155,515
156,428
157,128
158,177
159,447
160,69
161,269
162,519
163,562
164,433
165,175
166,176
167,541
168,411
169,220
170,303
171,472
172,238
173,402
174,226
175,440
176,137
177,356
178,518
179,16
180,425
181,4
182,488
183,160
184,498
185,74
186,54
187,275
188,361
189,113
190,379
191,549
192,88
193,89
194,11
195,82
196,241
197,179
198,480
199,378
200,208
201,588
202,292
203,377
204,348
205,504
206,394
207,0
208,342
209,491
210,85
211,347
212,250
213,565
214,468
215,470
216,464
217,483
218,489
219,267
220,414
221,141
222,299
223,234
224,459
225,122
226,407
227,366
228,135
229,306
230,37
231,441
232,442
233,384
234,192
235,364
236,134
237,320
238,566
239,273
240,153
241,23
242,339
243,111
244,240
245,387
246,539
247,334
248,79
249,159
250,30
251,281
252,595
253,280
254,78
255,110
256,62
257,31
258,47
259,124
260,374
261,439
262,202
263,418
264,218
265,376
266,545
267,229
268,190
269,72
270,143
271,391
272,93
273,91
274,287
275,507
276,136
277,95
278,127
279,165
280,204
281,106
282,56
283,506
284,350
285,274
286,34
287,543
288,158
289,22
290,212
291,431
292,222
293,580
294,239
295,21
296,353
297,125
298,231
299,421
300,314
301,503
302,81
303,123
304,395
305,80
306,188
307,108
308,258
309,115
310,579
311,359
312,523
313,475
314,1
315,311
316,553
317,551
318,494
319,591
320,485
321,451
322,170
323,103
324,67
325,572
326,373
327,263
328,502
329,444
330,277
331,120
332,396
333,372
334,327
335,381
336,185
337,272
338,465
339,41
340,244
341,252
342,403
343,36
344,427
345,33
346,293
347,453
348,554
349,187
350,13
351,75
352,477
353,367
354,142
355,49
356,452
357,458
358,251
359,197
360,219
361,357
362,302
363,576
364,166
365,83
366,285
367,393
368,365
369,514
370,435
371,307
372,46
373,5
374,329
375,474
376,596
377,370
378,397
379,573
380,516
381,333
382,26
383,25
384,65
385,271
386,346
387,117
388,107
389,266
390,486
391,249
392,133
393,155
394,497
395,193
396,501
397,520
398,297
399,593
400,279
401,242
402,64
403,540
404,305
405,389
406,368
407,513
408,227
409,332
410,336
411,587
412,207
413,245
414,351
415,172
416,362
417,57
418,404
419,335
420,446
421,58
422,194
423,114
424,8
425,203
426,52
427,99
428,392
429,105
430,487
431,481
432,575
433,324
434,322
435,298
436,544
437,521
438,461
439,151
440,530
441,246
442,531
443,536
444,469
445,233
446,43
447,230
448,38
449,216
450,19
451,559
452,512
453,148
454,76
455,535
456,201
457,168
458,471
459,154
460,548
461,570
462,206
463,462
464,60
465,9
466,434
467,152
468,146
469,552
470,224
471,119
472,505
473,319
474,235
475,87
476,27
477,184
478,532
479,416
480,476
481,130
482,358
483,171
484,18
485,42
486,51
487,98
488,2
489,479
490,237
491,131
492,214
493,236
494,100
495,571
496,594
497,12
498,526
499,567
500,511
501,50
502,147
503,460
504,558
505,420
506,24
507,561
508,15
509,68
510,398
511,189
512,495
513,243
514,490
515,223
516,363
517,340
518,547
519,583
520,102
521,44
522,429
523,294
524,295
525,6
526,32
527,96
528,426
529,39
530,17
531,328
532,316
533,109
534,66
535,71
536,288
537,92
538,264
539,338
540,584
541,360
542,211
543,221
544,282
545,369
546,261
547,262
548,289
549,380
550,132
551,437
552,508
553,284
554,55
555,525
556,161
557,385
558,321
559,405
560,582
561,186
562,422
563,191
564,323
565,352
566,129
567,325
568,406
569,300
570,14
571,310
572,317
573,412
574,478
575,101
576,415
577,568
578,466
579,104
580,116
581,375
582,390
583,537
584,401
585,564
586,140
587,247
588,254
589,178
590,410
591,256
592,400
593,296
594,200
595,529
596,432
