,rnd4
0,77
1,20
2,24
3,94
4,110
5,82
6,47
7,68
8,11
9,59
10,6
11,0
12,95
13,57
14,28
15,112
16,37
17,49
18,19
19,69
20,73
21,78
22,29
23,55
24,90
25,109
26,74
27,8
28,79
29,41
30,65
31,18
32,91
33,45
34,66
35,97
36,93
37,119
38,40
39,87
40,101
41,71
42,48
43,88
44,80
45,13
46,39
47,58
48,102
49,60
50,85
51,118
52,72
53,54
54,26
55,21
56,114
57,70
58,33
59,17
60,83
61,84
62,99
63,25
64,38
65,3
66,44
67,22
68,2
69,16
70,32
71,51
72,42
73,15
74,108
75,64
76,115
77,50
78,46
79,89
80,96
81,4
82,117
83,56
84,43
85,76
86,106
87,27
88,75
89,111
90,81
91,100
92,14
93,30
94,113
95,53
96,63
97,23
98,98
99,104
100,31
101,86
102,35
103,103
104,61
105,107
106,5
107,12
108,1
109,116
110,7
111,67
112,36
113,92
114,9
115,10
116,62
117,52
118,34
119,105
