,rnd0
0,11
1,52
2,38
3,92
4,98
5,13
6,14
7,118
8,28
9,22
10,44
11,41
12,47
13,105
14,61
15,29
16,104
17,6
18,82
19,42
20,15
21,34
22,0
23,4
24,49
25,25
26,87
27,48
28,5
29,24
30,114
31,36
32,10
33,68
34,111
35,56
36,85
37,70
38,54
39,27
40,95
41,74
42,83
43,23
44,77
45,64
46,57
47,110
48,109
49,35
50,51
51,21
52,102
53,97
54,115
55,90
56,91
57,117
58,78
59,31
60,88
61,19
62,119
63,33
64,62
65,3
66,106
67,8
68,16
69,94
70,69
71,101
72,32
73,76
74,113
75,112
76,53
77,86
78,7
79,66
80,116
81,45
82,96
83,46
84,79
85,99
86,80
87,63
88,50
89,2
90,59
91,93
92,84
93,67
94,81
95,107
96,17
97,71
98,103
99,75
100,73
101,43
102,37
103,58
104,60
105,89
106,65
107,72
108,9
109,39
110,18
111,1
112,20
113,12
114,26
115,40
116,30
117,100
118,108
119,55
