,rnd2
0,96
1,26
2,4
3,120
4,10
5,34
6,55
7,112
8,67
9,45
10,75
11,30
12,22
13,24
14,114
15,93
16,35
17,43
18,85
19,33
20,38
21,18
22,110
23,20
24,105
25,127
26,27
27,56
28,117
29,92
30,70
31,98
32,101
33,1
34,48
35,2
36,99
37,21
38,115
39,109
40,5
41,6
42,108
43,84
44,63
45,36
46,116
47,9
48,42
49,90
50,100
51,119
52,78
53,64
54,103
55,31
56,60
57,14
58,58
59,66
60,71
61,29
62,19
63,25
64,123
65,87
66,0
67,102
68,88
69,107
70,126
71,97
72,121
73,83
74,95
75,52
76,3
77,23
78,111
79,50
80,11
81,125
82,61
83,62
84,12
85,76
86,51
87,106
88,124
89,32
90,81
91,37
92,79
93,7
94,80
95,82
96,77
97,74
98,94
99,13
100,17
101,91
102,40
103,46
104,69
105,41
106,54
107,118
108,47
109,44
110,72
111,8
112,57
113,49
114,53
115,28
116,59
117,16
118,104
119,89
120,113
121,122
122,15
123,73
124,65
125,39
126,86
127,68
