,rnd5
0,66
1,56
2,101
3,88
4,9
5,63
6,54
7,30
8,69
9,31
10,99
11,111
12,74
13,122
14,116
15,21
16,15
17,0
18,120
19,16
20,29
21,34
22,77
23,81
24,78
25,61
26,44
27,10
28,115
29,52
30,113
31,22
32,12
33,86
34,11
35,42
36,80
37,93
38,14
39,112
40,28
41,48
42,38
43,87
44,97
45,53
46,58
47,67
48,83
49,40
50,94
51,85
52,123
53,20
54,51
55,118
56,106
57,107
58,68
59,37
60,4
61,47
62,121
63,114
64,57
65,65
66,8
67,90
68,108
69,64
70,33
71,39
72,76
73,73
74,35
75,45
76,27
77,46
78,70
79,84
80,105
81,7
82,72
83,50
84,104
85,109
86,18
87,36
88,98
89,5
90,96
91,25
92,3
93,71
94,119
95,23
96,13
97,91
98,62
99,41
100,103
101,95
102,32
103,55
104,75
105,17
106,102
107,82
108,43
109,59
110,60
111,24
112,92
113,49
114,117
115,6
116,110
117,89
118,1
119,79
120,19
121,26
122,100
123,2
