,rnd3
0,117
1,13
2,99
3,91
4,113
5,123
6,35
7,51
8,32
9,48
10,36
11,79
12,106
13,11
14,89
15,119
16,118
17,74
18,66
19,81
20,72
21,77
22,14
23,23
24,16
25,114
26,45
27,95
28,59
29,88
30,76
31,111
32,42
33,28
34,84
35,83
36,5
37,39
38,6
39,102
40,63
41,70
42,0
43,44
44,94
45,47
46,19
47,1
48,104
49,37
50,85
51,78
52,103
53,116
54,97
55,112
56,55
57,120
58,25
59,26
60,12
61,52
62,92
63,87
64,24
65,17
66,82
67,62
68,3
69,65
70,73
71,4
72,7
73,108
74,33
75,75
76,71
77,109
78,54
79,80
80,122
81,60
82,38
83,27
84,2
85,41
86,20
87,34
88,53
89,15
90,110
91,18
92,50
93,115
94,49
95,67
96,61
97,31
98,69
99,46
100,9
101,64
102,96
103,8
104,98
105,105
106,57
107,101
108,22
109,40
110,86
111,90
112,93
113,121
114,58
115,29
116,100
117,30
118,10
119,43
120,68
121,107
122,21
123,56
