,rnd6
0,17
1,74
2,18
3,16
4,29
5,117
6,10
7,14
8,72
9,115
10,22
11,23
12,85
13,118
14,91
15,68
16,60
17,51
18,88
19,108
20,64
21,13
22,62
23,82
24,44
25,102
26,106
27,65
28,61
29,15
30,105
31,97
32,96
33,76
34,37
35,57
36,77
37,43
38,79
39,69
40,70
41,32
42,116
43,99
44,36
45,54
46,59
47,75
48,67
49,80
50,78
51,84
52,27
53,111
54,52
55,53
56,28
57,50
58,55
59,71
60,5
61,4
62,26
63,89
64,11
65,112
66,2
67,46
68,3
69,33
70,49
71,0
72,107
73,95
74,113
75,31
76,39
77,48
78,86
79,6
80,9
81,110
82,8
83,83
84,103
85,42
86,24
87,34
88,66
89,94
90,7
91,100
92,73
93,47
94,30
95,56
96,1
97,114
98,104
99,41
100,109
101,21
102,20
103,25
104,93
105,90
106,87
107,101
108,81
109,38
110,58
111,98
112,45
113,63
114,19
115,35
116,119
117,12
118,40
119,92
