,rnd1
0,306
1,334
2,108
3,280
4,321
5,69
6,87
7,247
8,350
9,246
10,346
11,251
12,323
13,139
14,48
15,219
16,315
17,140
18,162
19,54
20,293
21,260
22,109
23,181
24,45
25,202
26,198
27,10
28,235
29,73
30,47
31,206
32,44
33,177
34,232
35,110
36,76
37,356
38,182
39,354
40,170
41,99
42,199
43,217
44,8
45,157
46,37
47,221
48,153
49,352
50,349
51,322
52,18
53,92
54,121
55,149
56,56
57,19
58,104
59,185
60,299
61,302
62,222
63,158
64,297
65,89
66,249
67,146
68,67
69,348
70,62
71,317
72,43
73,27
74,241
75,212
76,50
77,250
78,88
79,357
80,6
81,63
82,192
83,144
84,167
85,252
86,307
87,169
88,351
89,326
90,204
91,287
92,15
93,130
94,26
95,178
96,318
97,234
98,0
99,13
100,230
101,300
102,209
103,312
104,257
105,55
106,118
107,90
108,263
109,114
110,134
111,193
112,102
113,341
114,231
115,173
116,126
117,183
118,96
119,49
120,220
121,358
122,296
123,295
124,332
125,245
126,244
127,64
128,2
129,253
130,210
131,283
132,28
133,164
134,290
135,187
136,141
137,42
138,271
139,31
140,131
141,291
142,274
143,355
144,82
145,23
146,58
147,115
148,189
149,148
150,268
151,203
152,128
153,337
154,3
155,98
156,136
157,191
158,229
159,150
160,53
161,179
162,29
163,339
164,254
165,275
166,265
167,310
168,218
169,155
170,34
171,200
172,11
173,279
174,163
175,68
176,233
177,30
178,125
179,223
180,308
181,305
182,194
183,61
184,269
185,240
186,205
187,38
188,81
189,93
190,335
191,347
192,145
193,70
194,359
195,147
196,105
197,331
198,208
199,329
200,160
201,66
202,133
203,330
204,228
205,127
206,325
207,236
208,259
209,301
210,14
211,225
212,75
213,336
214,94
215,33
216,78
217,261
218,216
219,106
220,184
221,52
222,190
223,154
224,214
225,180
226,196
227,311
228,9
229,60
230,59
231,123
232,22
233,72
234,248
235,176
236,267
237,272
238,333
239,152
240,83
241,103
242,100
243,344
244,171
245,91
246,77
247,282
248,303
249,266
250,166
251,324
252,284
253,262
254,138
255,226
256,238
257,113
258,292
259,309
260,143
261,151
262,57
263,120
264,159
265,85
266,211
267,4
268,273
269,112
270,17
271,186
272,25
273,39
274,122
275,327
276,316
277,80
278,304
279,161
280,86
281,36
282,168
283,285
284,342
285,213
286,264
287,117
288,340
289,188
290,224
291,101
292,40
293,129
294,289
295,195
296,156
297,255
298,132
299,237
300,243
301,35
302,258
303,288
304,328
305,95
306,20
307,298
308,74
309,197
310,107
311,111
312,353
313,345
314,286
315,175
316,79
317,319
318,142
319,277
320,119
321,124
322,314
323,21
324,313
325,24
326,201
327,165
328,116
329,294
330,71
331,207
332,338
333,7
334,172
335,1
336,46
337,5
338,65
339,16
340,278
341,242
342,135
343,41
344,84
345,97
346,215
347,281
348,227
349,320
350,32
351,343
352,239
353,12
354,51
355,276
356,256
357,270
358,174
359,137
