,rnd5
0,286
1,242
2,272
3,317
4,72
5,250
6,44
7,219
8,246
9,59
10,274
11,187
12,226
13,142
14,3
15,115
16,161
17,258
18,270
19,75
20,251
21,104
22,163
23,45
24,21
25,65
26,83
27,262
28,114
29,356
30,158
31,287
32,336
33,271
34,31
35,49
36,291
37,96
38,112
39,300
40,126
41,180
42,172
43,206
44,256
45,84
46,285
47,137
48,318
49,152
50,123
51,173
52,290
53,147
54,154
55,288
56,247
57,214
58,153
59,243
60,316
61,98
62,355
63,133
64,151
65,346
66,237
67,71
68,343
69,185
70,350
71,136
72,230
73,282
74,129
75,222
76,124
77,335
78,46
79,42
80,195
81,201
82,102
83,273
84,319
85,252
86,296
87,60
88,69
89,293
90,307
91,225
92,338
93,279
94,352
95,110
96,341
97,162
98,299
99,33
100,314
101,323
102,257
103,333
104,210
105,40
106,303
107,278
108,89
109,266
110,245
111,327
112,35
113,144
114,218
115,328
116,70
117,342
118,351
119,20
120,340
121,87
122,135
123,140
124,55
125,357
126,236
127,347
128,159
129,118
130,128
131,312
132,80
133,220
134,306
135,47
136,67
137,28
138,241
139,36
140,12
141,139
142,78
143,113
144,166
145,52
146,76
147,97
148,337
149,324
150,261
151,15
152,57
153,73
154,13
155,108
156,311
157,74
158,41
159,191
160,130
161,64
162,200
163,176
164,309
165,17
166,209
167,2
168,284
169,38
170,27
171,302
172,105
173,179
174,177
175,138
176,292
177,24
178,202
179,348
180,304
181,119
182,208
183,68
184,86
185,103
186,141
187,43
188,353
189,298
190,345
191,186
192,313
193,331
194,330
195,85
196,178
197,213
198,150
199,175
200,310
201,63
202,181
203,269
204,334
205,157
206,58
207,260
208,101
209,149
210,221
211,184
212,295
213,289
214,315
215,77
216,211
217,231
218,148
219,215
220,134
221,168
222,109
223,131
224,233
225,294
226,265
227,127
228,155
229,223
230,160
231,88
232,332
233,188
234,253
235,183
236,349
237,203
238,217
239,189
240,358
241,171
242,48
243,53
244,322
245,107
246,359
247,11
248,14
249,62
250,7
251,297
252,205
253,66
254,91
255,79
256,164
257,326
258,22
259,92
260,30
261,321
262,94
263,263
264,267
265,325
266,145
267,320
268,283
269,122
270,227
271,232
272,329
273,111
274,212
275,39
276,9
277,239
278,259
279,0
280,199
281,308
282,1
283,196
284,224
285,301
286,277
287,99
288,305
289,238
290,56
291,281
292,197
293,25
294,190
295,125
296,339
297,93
298,174
299,26
300,143
301,132
302,244
303,95
304,106
305,182
306,50
307,90
308,16
309,32
310,6
311,146
312,170
313,29
314,100
315,120
316,82
317,268
318,165
319,276
320,51
321,194
322,275
323,54
324,4
325,193
326,229
327,156
328,240
329,8
330,280
331,255
332,18
333,198
334,169
335,207
336,248
337,5
338,254
339,249
340,117
341,34
342,264
343,10
344,167
345,192
346,19
347,354
348,37
349,81
350,234
351,204
352,61
353,235
354,344
355,23
356,121
357,216
358,116
359,228
