,rnd3
0,122
1,226
2,318
3,321
4,71
5,292
6,316
7,0
8,34
9,63
10,172
11,182
12,139
13,230
14,94
15,244
16,61
17,310
18,302
19,272
20,76
21,39
22,248
23,211
24,57
25,58
26,102
27,24
28,157
29,264
30,43
31,105
32,152
33,326
34,7
35,271
36,137
37,311
38,306
39,50
40,247
41,93
42,159
43,113
44,246
45,12
46,136
47,21
48,285
49,303
50,304
51,335
52,232
53,320
54,154
55,262
56,284
57,51
58,89
59,92
60,210
61,258
62,17
63,301
64,62
65,120
66,254
67,4
68,341
69,11
70,180
71,251
72,183
73,162
74,263
75,148
76,315
77,185
78,20
79,90
80,282
81,181
82,201
83,13
84,60
85,245
86,224
87,274
88,322
89,135
90,109
91,132
92,193
93,16
94,91
95,141
96,31
97,126
98,294
99,345
100,146
101,252
102,179
103,6
104,66
105,87
106,108
107,65
108,339
109,160
110,221
111,346
112,155
113,260
114,53
115,234
116,308
117,261
118,64
119,133
120,117
121,205
122,358
123,82
124,80
125,35
126,30
127,278
128,166
129,73
130,33
131,212
132,134
133,330
134,115
135,216
136,170
137,15
138,140
139,23
140,243
141,56
142,332
143,121
144,242
145,357
146,22
147,340
148,228
149,300
150,176
151,203
152,334
153,291
154,204
155,267
156,103
157,286
158,18
159,190
160,270
161,171
162,1
163,239
164,199
165,86
166,209
167,283
168,107
169,158
170,217
171,290
172,344
173,195
174,161
175,81
176,46
177,70
178,323
179,319
180,336
181,342
182,112
183,329
184,269
185,142
186,9
187,229
188,253
189,49
190,45
191,29
192,99
193,249
194,289
195,351
196,307
197,156
198,72
199,124
200,293
201,186
202,88
203,41
204,277
205,164
206,101
207,147
208,189
209,223
210,200
211,40
212,331
213,25
214,128
215,106
216,187
217,123
218,353
219,83
220,235
221,97
222,167
223,280
224,85
225,273
226,268
227,145
228,233
229,220
230,256
231,352
232,327
233,114
234,196
235,77
236,281
237,32
238,213
239,296
240,354
241,138
242,359
243,208
244,250
245,299
246,44
247,130
248,110
249,163
250,240
251,131
252,191
253,206
254,47
255,349
256,10
257,153
258,241
259,42
260,28
261,175
262,236
263,173
264,68
265,177
266,55
267,288
268,144
269,225
270,37
271,215
272,356
273,325
274,333
275,48
276,265
277,36
278,257
279,118
280,297
281,168
282,202
283,14
284,218
285,19
286,309
287,178
288,96
289,266
290,279
291,355
292,104
293,8
294,26
295,328
296,188
297,219
298,348
299,98
300,174
301,116
302,347
303,324
304,343
305,194
306,314
307,3
308,184
309,59
310,207
311,231
312,237
313,227
314,2
315,74
316,69
317,52
318,38
319,275
320,313
321,75
322,295
323,78
324,197
325,305
326,337
327,111
328,151
329,100
330,276
331,79
332,338
333,84
334,119
335,127
336,259
337,222
338,317
339,125
340,5
341,214
342,27
343,350
344,198
345,165
346,129
347,192
348,238
349,169
350,149
351,298
352,143
353,150
354,255
355,54
356,287
357,67
358,312
359,95
