,rnd1
0,96
1,721
2,579
3,446
4,201
5,324
6,426
7,401
8,591
9,161
10,255
11,590
12,105
13,165
14,254
15,17
16,736
17,114
18,325
19,62
20,186
21,406
22,45
23,273
24,14
25,702
26,4
27,657
28,284
29,124
30,536
31,558
32,265
33,416
34,49
35,339
36,538
37,540
38,190
39,480
40,740
41,486
42,716
43,335
44,464
45,557
46,123
47,338
48,706
49,688
50,320
51,707
52,563
53,534
54,334
55,210
56,651
57,623
58,249
59,73
60,167
61,141
62,405
63,196
64,462
65,37
66,645
67,299
68,656
69,472
70,164
71,56
72,422
73,552
74,616
75,518
76,411
77,26
78,242
79,98
80,89
81,587
82,200
83,298
84,168
85,301
86,94
87,498
88,130
89,8
90,515
91,83
92,315
93,505
94,691
95,384
96,490
97,205
98,213
99,511
100,290
101,560
102,618
103,396
104,222
105,497
106,147
107,63
108,277
109,77
110,172
111,495
112,348
113,666
114,466
115,387
116,103
117,146
118,31
119,72
120,11
121,55
122,562
123,399
124,652
125,491
126,582
127,122
128,107
129,355
130,704
131,529
132,272
133,443
134,12
135,47
136,50
137,622
138,305
139,30
140,160
141,42
142,663
143,478
144,614
145,476
146,120
147,259
148,741
149,528
150,639
151,87
152,510
153,61
154,343
155,744
156,323
157,247
158,92
159,306
160,547
161,544
162,549
163,329
164,672
165,723
166,206
167,256
168,117
169,592
170,75
171,229
172,539
173,21
174,506
175,85
176,404
177,326
178,637
179,347
180,90
181,180
182,264
183,752
184,439
185,135
186,633
187,1
188,711
189,303
190,86
191,166
192,176
193,53
194,191
195,360
196,119
197,377
198,106
199,109
200,23
201,233
202,234
203,512
204,60
205,631
206,599
207,43
208,350
209,356
210,421
211,413
212,198
213,485
214,346
215,209
216,493
217,270
218,580
219,88
220,428
221,181
222,660
223,594
224,58
225,619
226,553
227,260
228,202
229,215
230,286
231,729
232,361
233,598
234,434
235,22
236,628
237,457
238,445
239,750
240,112
241,76
242,545
243,441
244,365
245,527
246,574
247,743
248,199
249,648
250,612
251,733
252,677
253,369
254,174
255,483
256,5
257,162
258,357
259,267
260,345
261,358
262,223
263,432
264,304
265,681
266,3
267,376
268,341
269,569
270,429
271,436
272,566
273,300
274,280
275,340
276,34
277,25
278,749
279,588
280,643
281,294
282,217
283,461
284,475
285,392
286,686
287,600
288,302
289,138
290,400
291,153
292,670
293,232
294,641
295,27
296,408
297,226
298,689
299,713
300,364
301,139
302,678
303,93
304,195
305,676
306,517
307,2
308,156
309,484
310,395
311,463
312,655
313,313
314,389
315,739
316,140
317,102
318,507
319,671
320,0
321,155
322,570
323,564
324,262
325,52
326,423
327,624
328,318
329,171
330,695
331,469
332,578
333,620
334,437
335,520
336,295
337,565
338,479
339,554
340,321
341,551
342,496
343,745
344,664
345,149
346,319
347,589
348,668
349,113
350,425
351,717
352,644
353,20
354,375
355,342
356,397
357,522
358,282
359,236
360,15
361,266
362,693
363,370
364,440
365,214
366,185
367,243
368,402
369,330
370,6
371,67
372,683
373,636
374,450
375,583
376,715
377,610
378,111
379,19
380,99
381,606
382,595
383,537
384,10
385,36
386,492
387,137
388,452
389,188
390,158
391,727
392,278
393,499
394,145
395,403
396,91
397,535
398,417
399,134
400,391
401,128
402,602
403,543
404,380
405,143
406,550
407,182
408,470
409,513
410,95
411,197
412,78
413,64
414,454
415,447
416,240
417,352
418,307
419,712
420,509
421,244
422,276
423,647
424,84
425,118
426,477
427,296
428,559
429,57
430,698
431,501
432,29
433,575
434,316
435,709
436,279
437,596
438,662
439,634
440,394
441,291
442,722
443,521
444,281
445,519
446,154
447,97
448,81
449,703
450,253
451,649
452,312
453,532
454,577
455,101
456,719
457,385
458,177
459,576
460,69
461,555
462,684
463,487
464,144
465,541
466,129
467,132
468,228
469,230
470,682
471,66
472,178
473,142
474,581
475,288
476,289
477,420
478,601
479,65
480,237
481,730
482,351
483,502
484,28
485,488
486,308
487,414
488,173
489,218
490,675
491,373
492,409
493,59
494,692
495,453
496,523
497,227
498,309
499,710
500,726
501,127
502,661
503,13
504,378
505,732
506,718
507,503
508,482
509,455
510,481
511,136
512,46
513,151
514,204
515,192
516,362
517,525
518,431
519,705
520,327
521,467
522,261
523,35
524,79
525,100
526,251
527,211
528,7
529,642
530,359
531,349
532,71
533,212
534,699
535,32
536,526
537,696
538,208
539,287
540,194
541,353
542,70
543,609
544,51
545,33
546,371
547,611
548,297
549,653
550,673
551,742
552,110
553,419
554,239
555,412
556,724
557,728
558,667
559,250
560,238
561,148
562,216
563,189
564,567
565,504
566,150
567,311
568,489
569,248
570,285
571,418
572,125
573,379
574,354
575,561
576,449
577,731
578,293
579,640
580,608
581,701
582,274
583,638
584,548
585,448
586,74
587,224
588,690
589,755
590,187
591,184
592,679
593,669
594,38
595,133
596,258
597,108
598,388
599,646
600,40
601,179
602,629
603,626
604,635
605,585
606,444
607,630
608,220
609,24
610,473
611,654
612,381
613,621
614,747
615,424
616,451
617,735
618,427
619,41
620,568
621,16
622,332
623,632
624,314
625,573
626,460
627,435
628,317
629,524
630,344
631,746
632,627
633,685
634,9
635,603
636,292
637,572
638,310
639,169
640,500
641,268
642,738
643,372
644,753
645,328
646,333
647,382
648,459
649,410
650,720
651,367
652,658
653,386
654,687
655,152
656,465
657,363
658,68
659,241
660,650
661,331
662,531
663,700
664,48
665,415
666,674
667,659
668,263
669,586
670,737
671,115
672,203
673,697
674,516
675,714
676,430
677,456
678,546
679,474
680,245
681,131
682,366
683,383
684,54
685,257
686,433
687,246
688,275
689,163
690,269
691,438
692,157
693,571
694,708
695,751
696,725
697,530
698,468
699,584
700,116
701,514
702,121
703,252
704,39
705,18
706,604
707,207
708,175
709,605
710,508
711,665
712,159
713,593
714,533
715,219
716,235
717,231
718,336
719,44
720,271
721,407
722,613
723,494
724,283
725,442
726,126
727,398
728,374
729,193
730,471
731,458
732,680
733,734
734,542
735,607
736,617
737,225
738,221
739,368
740,322
741,597
742,82
743,183
744,694
745,80
746,390
747,754
748,615
749,337
750,625
751,104
752,170
753,393
754,556
755,748
