,rnd4
0,143
1,107
2,314
3,305
4,30
5,157
6,247
7,199
8,4
9,352
10,304
11,97
12,241
13,272
14,310
15,299
16,104
17,16
18,288
19,124
20,335
21,344
22,48
23,309
24,110
25,212
26,41
27,121
28,276
29,250
30,68
31,13
32,337
33,353
34,17
35,185
36,308
37,86
38,84
39,321
40,294
41,217
42,64
43,235
44,66
45,62
46,127
47,358
48,177
49,40
50,63
51,275
52,126
53,129
54,161
55,163
56,338
57,297
58,302
59,184
60,179
61,96
62,202
63,341
64,116
65,106
66,148
67,45
68,263
69,58
70,53
71,328
72,73
73,141
74,14
75,357
76,175
77,339
78,279
79,23
80,206
81,271
82,189
83,105
84,34
85,65
86,273
87,349
88,292
89,221
90,136
91,174
92,228
93,289
94,160
95,238
96,79
97,311
98,28
99,269
100,194
101,216
102,261
103,303
104,290
105,242
106,324
107,76
108,334
109,318
110,146
111,167
112,173
113,71
114,214
115,348
116,251
117,323
118,219
119,336
120,270
121,347
122,56
123,154
124,195
125,72
126,137
127,74
128,306
129,266
130,95
131,112
132,248
133,316
134,331
135,320
136,183
137,317
138,75
139,355
140,138
141,51
142,345
143,21
144,151
145,236
146,227
147,333
148,222
149,54
150,178
151,207
152,188
153,280
154,140
155,164
156,198
157,12
158,52
159,80
160,208
161,103
162,26
163,152
164,82
165,69
166,5
167,245
168,111
169,351
170,11
171,61
172,182
173,343
174,342
175,322
176,147
177,130
178,59
179,49
180,55
181,118
182,244
183,133
184,239
185,284
186,346
187,171
188,205
189,135
190,90
191,285
192,144
193,300
194,102
195,24
196,166
197,123
198,92
199,10
200,9
201,7
202,77
203,85
204,93
205,99
206,291
207,155
208,254
209,149
210,88
211,181
212,109
213,37
214,1
215,196
216,193
217,295
218,156
219,150
220,38
221,211
222,283
223,70
224,27
225,209
226,142
227,326
228,313
229,117
230,115
231,3
232,246
233,50
234,47
235,94
236,119
237,287
238,340
239,253
240,286
241,229
242,113
243,78
244,243
245,252
246,120
247,232
248,215
249,262
250,89
251,125
252,176
253,332
254,108
255,256
256,260
257,237
258,274
259,220
260,100
261,224
262,315
263,201
264,39
265,325
266,165
267,197
268,159
269,225
270,329
271,131
272,36
273,134
274,83
275,354
276,249
277,8
278,312
279,81
280,298
281,186
282,6
283,139
284,170
285,57
286,32
287,172
288,210
289,278
290,268
291,213
292,240
293,180
294,33
295,233
296,265
297,293
298,192
299,231
300,330
301,128
302,301
303,327
304,29
305,132
306,234
307,319
308,282
309,169
310,277
311,43
312,190
313,122
314,356
315,168
316,158
317,200
318,255
319,191
320,19
321,223
322,46
323,257
324,226
325,18
326,22
327,20
328,359
329,264
330,162
331,101
332,2
333,42
334,267
335,145
336,67
337,350
338,230
339,15
340,258
341,203
342,307
343,35
344,98
345,25
346,153
347,187
348,259
349,91
350,87
351,281
352,44
353,31
354,218
355,114
356,204
357,296
358,0
359,60
