,rnd2
0,73
1,130
2,229
3,109
4,215
5,326
6,158
7,225
8,23
9,88
10,14
11,200
12,310
13,336
14,224
15,106
16,145
17,199
18,184
19,254
20,28
21,357
22,311
23,188
24,290
25,264
26,286
27,131
28,119
29,303
30,203
31,175
32,242
33,317
34,334
35,178
36,339
37,337
38,272
39,124
40,252
41,269
42,179
43,27
44,148
45,96
46,255
47,302
48,322
49,273
50,245
51,159
52,276
53,121
54,294
55,1
56,189
57,171
58,173
59,279
60,307
61,97
62,102
63,56
64,238
65,277
66,227
67,172
68,10
69,313
70,318
71,3
72,105
73,233
74,226
75,170
76,344
77,38
78,206
79,332
80,321
81,137
82,94
83,291
84,247
85,74
86,59
87,146
88,165
89,47
90,260
91,348
92,103
93,198
94,270
95,24
96,164
97,41
98,5
99,163
100,237
101,356
102,26
103,133
104,16
105,117
106,210
107,33
108,282
109,259
110,235
111,292
112,347
113,212
114,239
115,151
116,35
117,191
118,251
119,265
120,323
121,123
122,253
123,196
124,278
125,49
126,228
127,12
128,314
129,208
130,325
131,182
132,268
133,21
134,76
135,72
136,351
137,17
138,355
139,6
140,114
141,160
142,100
143,267
144,248
145,185
146,83
147,84
148,308
149,122
150,320
151,75
152,48
153,34
154,284
155,262
156,289
157,205
158,92
159,50
160,333
161,346
162,309
163,157
164,335
165,115
166,209
167,186
168,52
169,207
170,257
171,43
172,11
173,53
174,319
175,218
176,193
177,77
178,223
179,342
180,154
181,20
182,65
183,329
184,244
185,195
186,2
187,201
188,22
189,107
190,90
191,126
192,86
193,190
194,93
195,54
196,298
197,331
198,341
199,216
200,246
201,358
202,61
203,111
204,359
205,295
206,138
207,135
208,0
209,8
210,112
211,301
212,152
213,67
214,174
215,80
216,98
217,155
218,167
219,350
220,353
221,141
222,266
223,243
224,69
225,116
226,250
227,89
228,345
229,240
230,280
231,211
232,36
233,197
234,125
235,7
236,177
237,176
238,40
239,249
240,99
241,300
242,25
243,63
244,118
245,129
246,147
247,120
248,194
249,144
250,64
251,296
252,202
253,271
254,324
255,315
256,46
257,134
258,142
259,330
260,78
261,162
262,140
263,139
264,60
265,234
266,153
267,58
268,101
269,220
270,338
271,287
272,180
273,136
274,18
275,274
276,81
277,29
278,285
279,149
280,305
281,66
282,327
283,108
284,79
285,45
286,219
287,236
288,31
289,42
290,343
291,192
292,19
293,204
294,183
295,232
296,55
297,256
298,127
299,217
300,62
301,340
302,241
303,143
304,82
305,281
306,156
307,221
308,169
309,230
310,304
311,349
312,288
313,275
314,231
315,13
316,263
317,261
318,68
319,168
320,352
321,258
322,354
323,187
324,95
325,44
326,87
327,4
328,150
329,37
330,166
331,71
332,128
333,39
334,299
335,70
336,214
337,222
338,110
339,30
340,32
341,51
342,161
343,306
344,316
345,85
346,91
347,213
348,113
349,104
350,293
351,297
352,283
353,312
354,181
355,9
356,57
357,15
358,328
359,132
